ACCOUNT STATEMENT
Account Number;1234567890
Period;16 Jan 2026 to 27 Feb 2026

Transaction Date;Narrative;Debit Amount;Credit Amount;Running Balance
2026-02-10;CARD PURCHASE 4067********1234 DEBONAIRS PIZZA;158.37;;30 306.54
2026-02-10;CARD PURCHASE 4067********1234 DIS-CHEM PHARMACY;498.00;;29 808.54
2026-02-10;CARD PURCHASE 4067********1234 HOLLYWOODBETS ONLINE;263.00;;29 545.54
2026-02-10;CARD PURCHASE 4067********1234 HOLLYWOODBETS ONLINE;216.28;;29 329.26
2026-02-10;CITY OF JOHANNESBURG RATES AND TAXES;1 780.00;;27 549.26
2026-02-10;DEBIT ORDER OUTSURANCE 8821;1 423.00;;26 126.26
2026-02-11;CARD PURCHASE 4067********1234 CHECKERS HYPER FOURWAYS ZA;886.00;;25 240.26
2026-02-12;CARD PURCHASE 4067********1234 NANDOS FOURWAYS;200.00;;25 040.26
2026-02-13;CARD PURCHASE 4067********1234 BETWAY SA;503.12;;24 537.14
2026-02-13;CARD PURCHASE 4067********1234 CLICKS FOURWAYS MALL;130.00;;24 407.14
2026-02-13;CARD PURCHASE 4067********1234 DEBONAIRS PIZZA;164.00;;24 243.14
2026-02-13;CARD PURCHASE 4067********1234 MR D FOOD;142.85;;24 100.29
2026-02-13;DEBIT ORDER AFRIHOST FIBRE;799.00;;23 301.29
2026-02-13;DEBIT ORDER MULTICHOICE DSTV PREMIUM;945.00;;22 356.29
2026-02-13;MONTHLY ACCOUNT FEE;125.00;;22 231.29
2026-02-13;PREPAID ELECTRICITY PURCHASE;1 200.00;;21 031.29
2026-02-14;CARD PURCHASE 4067********1234 TAKEALOT.COM CAPE TOWN;1 404.20;;19 627.09
2026-02-14;DEBIT ORDER ADOBE CREATIVE CLOUD;399.99;;19 227.10
2026-02-15;CARD PURCHASE 4067********1234 HOLLYWOODBETS ONLINE;489.90;;18 737.20
2026-02-15;CARD PURCHASE 4067********1234 TAKEALOT.COM CAPE TOWN;1 285.75;;17 451.45
2026-02-16;CARD PURCHASE 4067********1234 MR D FOOD;170.00;;17 281.45
2026-02-16;CARD PURCHASE 4067********1234 UBER EATS ZA;388.18;;16 893.27
2026-02-16;PARKING FOURWAYS MALL;30.00;;16 863.27
2026-02-17;DEBIT ORDER MICROSOFT 365 FAMILY;129.99;;16 733.28
2026-02-18;BOND REPAYMENT ABSA HOMELOAN 4067;12 850.00;;3 883.28
2026-02-18;CARD PURCHASE 4067********1234 ABSOLUTE PETS LONEHILL;597.00;;3 286.28
2026-02-18;CARD PURCHASE 4067********1234 ENGEN FOURWAYS;851.00;;2 435.28
2026-02-18;CARD PURCHASE 4067********1234 NANDOS FOURWAYS;232.12;;2 203.16
2026-02-19;CARD PURCHASE 4067********1234 SHELL RIVONIA;847.30;;1 355.86
2026-02-19;CARD PURCHASE 4067********1234 SHELL RIVONIA;725.69;;630.17
2026-02-19;CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY;67.00;;563.17
2026-02-19;CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY;89.00;;474.17
2026-02-19;DEBIT ORDER NETFLIX.COM AMSTERDAM NL;199.00;;275.17
2026-02-19;DEBIT ORDER SHOWMAX RANDBURG ZA;99.00;;176.17
2026-02-20;CARD PURCHASE 4067********1234 HOLLYWOODBETS ONLINE;828.41;;-652.24
2026-02-20;CARD PURCHASE 4067********1234 UBER EATS ZA;146.00;;-798.24
2026-02-21;CARD PURCHASE 4067********1234 BOLT REQUEST TALLINN EE;162.00;;-960.24
2026-02-21;CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY;44.63;;-1 004.87
2026-02-21;CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY;55.58;;-1 060.45
2026-02-22;CARD PURCHASE 4067********1234 TOPS AT SPAR LONEHILL;718.00;;-1 778.45
2026-02-22;CARD PURCHASE 4067********1234 UBER EATS ZA;401.00;;-2 179.45
2026-02-22;CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY;57.65;;-2 237.10
2026-02-22;CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY;47.00;;-2 284.10
2026-02-22;PARKING FOURWAYS MALL;38.65;;-2 322.75
2026-02-23;CARD PURCHASE 4067********1234 CLICKS FOURWAYS MALL;258.00;;-2 580.75
2026-02-23;CARD PURCHASE 4067********1234 ENGEN FOURWAYS;1 099.22;;-3 679.97
2026-02-23;CARD PURCHASE 4067********1234 MR D FOOD;328.12;;-4 008.09
2026-02-23;CARD PURCHASE 4067********1234 MR PRICE FOURWAYS;734.86;;-4 742.95
2026-02-23;CARD PURCHASE 4067********1234 PICK N PAY FAMILY BRYANSTON;674.00;;-5 416.95
2026-02-23;CARD PURCHASE 4067********1234 STARBUCKS ROSEBANK;52.08;;-5 469.03
2026-02-23;CARD PURCHASE 4067********1234 TAKEALOT.COM CAPE TOWN;1 761.00;;-7 230.03
2026-02-23;CARD PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM;76.46;;-7 306.49
2026-02-23;CARD PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM;87.00;;-7 393.49
2026-02-23;DEBIT ORDER DISCOVERY HEALTH MEDICAL SCHEME;3 890.00;;-11 283.49
2026-02-24;CARD PURCHASE 4067********1234 HOLLYWOODBETS ONLINE;504.73;;-11 788.22
2026-02-24;DEBIT ORDER VODACOM SP PTY LTD;899.00;;-12 687.22
2026-02-25;CARD PURCHASE 4067********1234 TOPS AT SPAR LONEHILL;254.26;;-12 941.48
2026-02-25;SALARY ACB CREDIT IGNITION GROUP;;68 500.00;55 558.52
2026-02-26;CARD PURCHASE 4067********1234 SANRAL E-TOLL;176.30;;55 382.22
2026-02-27;ATM CASH WITHDRAWAL SANDTON;756.00;;54 626.22
2026-02-27;ATM CASH WITHDRAWAL SANDTON;1 257.00;;53 369.22
2026-02-27;CARD PURCHASE 4067********1234 PICK N PAY FAMILY BRYANSTON;480.62;;52 888.60
2026-02-27;CARD PURCHASE 4067********1234 STER-KINEKOR MONTECASINO;202.71;;52 685.89
2026-02-27;CARD PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM;204.96;;52 480.93
