Posting Date,Reference,Details,Transaction Amount
03/10/2026,CITY,OF JOHANNESBURG RATES AND TAXES,(1780.00)
03/10/2026,DEBIT,ORDER OUTSURANCE 8821,(1423.00)
03/11/2026,CARD,PURCHASE 4067********1234 TOPS AT SPAR LONEHILL,(806.00)
03/12/2026,CARD,PURCHASE 4067********1234 SHELL RIVONIA,(579.75)
03/12/2026,CARD,PURCHASE 4067********1234 TOPS AT SPAR LONEHILL,(730.44)
03/13/2026,CARD,PURCHASE 4067********1234 CLICKS FOURWAYS MALL,(316.00)
03/13/2026,CARD,PURCHASE 4067********1234 DEBONAIRS PIZZA,(195.41)
03/13/2026,CARD,PURCHASE 4067********1234 SHELL RIVONIA,(896.00)
03/13/2026,CARD,PURCHASE 4067********1234 STARBUCKS ROSEBANK,(80.50)
03/13/2026,DEBIT,ORDER AFRIHOST FIBRE,(799.00)
03/13/2026,DEBIT,ORDER MULTICHOICE DSTV PREMIUM,(945.00)
03/13/2026,MONTHLY,ACCOUNT FEE,(125.00)
03/13/2026,PREPAID,ELECTRICITY PURCHASE,(1200.00)
03/14/2026,CARD,PURCHASE 4067********1234 PICK N PAY FAMILY BRYANSTON,(197.66)
03/14/2026,CARD,PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,(62.67)
03/14/2026,DEBIT,ORDER ADOBE CREATIVE CLOUD,(399.99)
03/15/2026,ATM,CASH WITHDRAWAL SANDTON,(1218.10)
03/15/2026,CARD,PURCHASE 4067********1234 BOLT REQUEST TALLINN EE,(66.07)
03/15/2026,CARD,PURCHASE 4067********1234 HOLLYWOODBETS ONLINE,(614.15)
03/15/2026,CARD,PURCHASE 4067********1234 NANDOS FOURWAYS,(220.00)
03/15/2026,CARD,PURCHASE 4067********1234 PICK N PAY FAMILY BRYANSTON,(467.00)
03/15/2026,CARD,PURCHASE 4067********1234 STARBUCKS ROSEBANK,(86.00)
03/16/2026,CARD,PURCHASE 4067********1234 SPORTSCENE SANDTON CITY,(1365.00)
03/16/2026,CARD,PURCHASE 4067********1234 UBER EATS ZA,(417.00)
03/17/2026,CARD,PURCHASE 4067********1234 BETWAY SA,(571.14)
03/17/2026,CARD,PURCHASE 4067********1234 NANDOS FOURWAYS,(181.46)
03/17/2026,CARD,PURCHASE 4067********1234 UBER EATS ZA,(385.00)
03/17/2026,DEBIT,ORDER MICROSOFT 365 FAMILY,(129.99)
03/17/2026,PARKING,FOURWAYS MALL,(28.54)
03/18/2026,BOND,REPAYMENT ABSA HOMELOAN 4067,(12850.00)
03/18/2026,CARD,PURCHASE 4067********1234 TAKEALOT.COM CAPE TOWN,(1471.90)
03/19/2026,CARD,PURCHASE 4067********1234 UBER EATS ZA,(372.34)
03/19/2026,CARD,PURCHASE 4067********1234 UBER EATS ZA,(246.92)
03/19/2026,CARD,PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,(63.00)
03/19/2026,CARD,PURCHASE 4067********1234 WOOLWORTHS FOOD SANDTON ZA,(620.00)
03/19/2026,DEBIT,ORDER NETFLIX.COM AMSTERDAM NL,(199.00)
03/19/2026,DEBIT,ORDER SHOWMAX RANDBURG ZA,(99.00)
03/20/2026,CARD,PURCHASE 4067********1234 SANRAL E-TOLL,(221.00)
03/20/2026,CARD,PURCHASE 4067********1234 WOOLWORTHS FOOD SANDTON ZA,(515.59)
03/21/2026,CARD,PURCHASE 4067********1234 UBER EATS ZA,(308.02)
03/22/2026,CARD,PURCHASE 4067********1234 BETWAY SA,(180.00)
03/22/2026,CARD,PURCHASE 4067********1234 CHECKERS HYPER FOURWAYS ZA,(1156.16)
03/22/2026,CARD,PURCHASE 4067********1234 TAKEALOT.COM CAPE TOWN,(425.00)
03/23/2026,CARD,PURCHASE 4067********1234 ENGEN FOURWAYS,(608.00)
03/23/2026,CARD,PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,(50.34)
03/23/2026,DEBIT,ORDER DISCOVERY HEALTH MEDICAL SCHEME,(3890.00)
03/24/2026,CARD,PURCHASE 4067********1234 KFC WITKOPPEN,(186.69)
03/24/2026,CARD,PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,(80.88)
03/24/2026,DEBIT,ORDER VODACOM SP PTY LTD,(899.00)
03/25/2026,CARD,PURCHASE 4067********1234 MR D FOOD,(212.00)
03/25/2026,CARD,PURCHASE 4067********1234 TAKEALOT.COM CAPE TOWN,(715.81)
03/25/2026,CARD,PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM,(109.00)
03/25/2026,SALARY,ACB CREDIT IGNITION GROUP,68500.00
03/26/2026,ATM,CASH WITHDRAWAL SANDTON,(1658.53)
03/26/2026,CARD,PURCHASE 4067********1234 MR D FOOD,(292.00)
03/26/2026,CARD,PURCHASE 4067********1234 STARBUCKS ROSEBANK,(90.00)
03/26/2026,CARD,PURCHASE 4067********1234 TOPS AT SPAR LONEHILL,(271.91)
03/26/2026,CARD,PURCHASE 4067********1234 UBER EATS ZA,(294.49)
03/27/2026,CARD,PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,(57.52)
03/27/2026,PARKING,FOURWAYS MALL,(40.25)
03/28/2026,CARD,PURCHASE 4067********1234 MR PRICE FOURWAYS,(334.58)
03/28/2026,CARD,PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,(57.54)
03/29/2026,CARD,PURCHASE 4067********1234 CHECKERS HYPER FOURWAYS ZA,(1583.00)
03/29/2026,CARD,PURCHASE 4067********1234 CLICKS FOURWAYS MALL,(224.42)
03/29/2026,CARD,PURCHASE 4067********1234 HOLLYWOODBETS ONLINE,(235.69)
03/29/2026,CARD,PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,(63.00)
03/30/2026,CARD,PURCHASE 4067********1234 HOLLYWOODBETS ONLINE,(473.03)
03/30/2026,CARD,PURCHASE 4067********1234 STER-KINEKOR MONTECASINO,(219.00)
03/31/2026,CARD,PURCHASE 4067********1234 BETWAY SA,(599.00)
03/31/2026,CARD,PURCHASE 4067********1234 DEBONAIRS PIZZA,(189.40)
03/31/2026,CARD,PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM,(151.00)
