Statement,Cheque Account 62xxxxxx891
Generated,sample data - not a real account

Date,Description,Amount,Balance
11/01/2026,CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,-51.00,20661.63
12/01/2026,CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,-41.15,20620.48
12/01/2026,CARD PURCHASE 4067********1234 WOOLWORTHS FOOD SANDTON ZA,-856.80,19763.68
13/01/2026,CARD PURCHASE 4067********1234 CHECKERS HYPER FOURWAYS ZA,-1644.00,18119.68
13/01/2026,CARD PURCHASE 4067********1234 DEBONAIRS PIZZA,-140.45,17979.23
13/01/2026,CARD PURCHASE 4067********1234 HOLLYWOODBETS ONLINE,-932.00,17047.23
13/01/2026,CARD PURCHASE 4067********1234 HOLLYWOODBETS ONLINE,-620.00,16427.23
13/01/2026,CARD PURCHASE 4067********1234 MR D FOOD,-214.00,16213.23
13/01/2026,CARD PURCHASE 4067********1234 UBER EATS ZA,-389.64,15823.59
13/01/2026,CARD PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM,-100.00,15723.59
13/01/2026,DEBIT ORDER AFRIHOST FIBRE,-799.00,14924.59
13/01/2026,DEBIT ORDER MULTICHOICE DSTV PREMIUM,-945.00,13979.59
13/01/2026,MONTHLY ACCOUNT FEE,-125.00,13854.59
13/01/2026,PREPAID ELECTRICITY PURCHASE,-1200.00,12654.59
14/01/2026,CARD PURCHASE 4067********1234 SPORTSCENE SANDTON CITY,-1110.00,11544.59
14/01/2026,DEBIT ORDER ADOBE CREATIVE CLOUD,-399.99,11144.60
15/01/2026,CARD PURCHASE 4067********1234 KFC WITKOPPEN,-137.23,11007.37
15/01/2026,CARD PURCHASE 4067********1234 SHELL RIVONIA,-1021.11,9986.26
16/01/2026,CARD PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM,-153.00,9833.26
17/01/2026,CARD PURCHASE 4067********1234 BETWAY SA,-462.07,9371.19
17/01/2026,CARD PURCHASE 4067********1234 SANRAL E-TOLL,-309.64,9061.55
17/01/2026,CARD PURCHASE 4067********1234 STARBUCKS ROSEBANK,-62.00,8999.55
17/01/2026,CARD PURCHASE 4067********1234 TAKEALOT.COM CAPE TOWN,-850.88,8148.67
17/01/2026,DEBIT ORDER MICROSOFT 365 FAMILY,-129.99,8018.68
18/01/2026,BOND REPAYMENT ABSA HOMELOAN 4067,-12850.00,-4831.32
18/01/2026,PARKING FOURWAYS MALL,-29.00,-4860.32
19/01/2026,CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,-45.66,-4905.98
19/01/2026,DEBIT ORDER NETFLIX.COM AMSTERDAM NL,-199.00,-5104.98
19/01/2026,DEBIT ORDER SHOWMAX RANDBURG ZA,-99.00,-5203.98
20/01/2026,CARD PURCHASE 4067********1234 MR D FOOD,-186.25,-5390.23
20/01/2026,CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,-83.09,-5473.32
21/01/2026,CARD PURCHASE 4067********1234 BETWAY SA,-270.00,-5743.32
21/01/2026,CARD PURCHASE 4067********1234 UBER EATS ZA,-213.68,-5957.00
22/01/2026,CARD PURCHASE 4067********1234 BETWAY SA,-401.45,-6358.45
23/01/2026,ATM CASH WITHDRAWAL SANDTON,-1684.00,-8042.45
23/01/2026,CARD PURCHASE 4067********1234 BOLT REQUEST TALLINN EE,-151.64,-8194.09
23/01/2026,CARD PURCHASE 4067********1234 CHECKERS HYPER FOURWAYS ZA,-1342.00,-9536.09
23/01/2026,CARD PURCHASE 4067********1234 ENGEN FOURWAYS,-781.31,-10317.40
23/01/2026,CARD PURCHASE 4067********1234 HOLLYWOODBETS ONLINE,-575.92,-10893.32
23/01/2026,DEBIT ORDER DISCOVERY HEALTH MEDICAL SCHEME,-3890.00,-14783.32
24/01/2026,DEBIT ORDER VODACOM SP PTY LTD,-899.00,-15682.32
25/01/2026,CARD PURCHASE 4067********1234 STARBUCKS ROSEBANK,-78.47,-15760.79
25/01/2026,CARD PURCHASE 4067********1234 UBER EATS ZA,-326.99,-16087.78
25/01/2026,SALARY ACB CREDIT IGNITION GROUP,68500.00,52412.22
26/01/2026,CARD PURCHASE 4067********1234 BOLT REQUEST TALLINN EE,-69.00,52343.22
26/01/2026,CARD PURCHASE 4067********1234 ENGEN FOURWAYS,-841.09,51502.13
26/01/2026,CARD PURCHASE 4067********1234 STARBUCKS ROSEBANK,-73.00,51429.13
26/01/2026,CARD PURCHASE 4067********1234 UBER EATS ZA,-417.42,51011.71
26/01/2026,CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,-54.00,50957.71
27/01/2026,ATM CASH WITHDRAWAL SANDTON,-1808.01,49149.70
28/01/2026,CARD PURCHASE 4067********1234 HOLLYWOODBETS ONLINE,-690.00,48459.70
28/01/2026,CARD PURCHASE 4067********1234 TAKEALOT.COM CAPE TOWN,-247.00,48212.70
29/01/2026,CARD PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM,-157.00,48055.70
31/01/2026,CARD PURCHASE 4067********1234 BUILDERS WAREHOUSE STRIJDOM,-1613.00,46442.70
31/01/2026,CARD PURCHASE 4067********1234 UBER EATS ZA,-177.39,46265.31
31/01/2026,CARD PURCHASE 4067********1234 UBER EATS ZA,-387.86,45877.45
31/01/2026,CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,-62.00,45815.45

,Closing Balance,,45815.45
